country,coordinates
Afghanistan,"('33', '66')"
South Africa,"('-29', '24')"
Albania,"('41', '20')"
Germany,"('51.5', '10.5')"
Angola,"('-12.5', '18.5')"
Argentina,"('-34', '-64')"
Australia,"('-25', '135')"
Austria,"('47.33333', '13.33333')"
Bangladesh,"('24', '90')"
Bahrain,"('26.03333', '50.55')"
Belgium,"('50.75', '4.5')"
Belize,"('17.25', '-88.75')"
Benin,"('9.5', '2.25')"
Bolivia,"('-17', '-65')"
Bosnia and Herzegovina,"('44.25', '17.83333')"
Botswana,"('-22', '24')"
Brazil,"('-10', '-55')"
Brunei,"('4.5', '114.66667')"
Bulgaria,"('42.66667', '25.25')"
Cape Green,"('-67.31667', '59.5')"
Cameroon,"('6', '12.5')"
Canada,"('60.10867', '-113.64258')"
Qatar,"('25.5', '51.25')"
Chile,"('-30', '-71')"
Colombia,"('4', '-73.25')"
Costa Rica,"('10', '-84')"
Denmark,"('56', '10')"
Egypt,"('27', '30')"
United Arab Emirates,"('23.75', '54.5')"
Ecuador,"('-1.25', '-78.25')"
Slovenia,"('46.08333', '15')"
Spain,"('40', '-4')"
State of Palestine,"('31.92157', '35.20329')"
U.S,"('-14.60485', '-57.65625')"
Estonia,"('59', '26')"
Philippines,"('13.40882', '122.56155')"
Finland,"('64', '26')"
France,"('46', '2')"
Gabon,"('-1', '11.75')"
Greece,"('39', '22')"
Guinea Bissau,"('12', '-15')"
Haiti,"('19.07582', '-72.29616')"
Hungary,"('47', '20')"
Ireland,"('53', '-8')"
Iceland,"('65', '-18')"
Israel,"('31.5', '34.75')"
Italy,"('42.83333', '12.83333')"
Japan,"('35.68536', '139.75309')"
Lebanon,"('33.83333', '35.83333')"
Luxembourg,"('49.75', '6.16667')"
Malta,"('35.91667', '14.43333')"
Mexico,"('23', '-102')"
Mozambique,"('-18.25', '35')"
Nepal,"('28', '84')"
Norway,"('62', '10')"
New Zealand,"('-42', '174')"
Netherlands,"('52.25', '5.75')"
Panama,"('9', '-80')"
Paraguay,"('-23.33333', '-58')"
Peru,"('-10', '-75.25')"
Poland,"('52', '20')"
Portugal,"('39.6945', '-8.13057')"
UK,"('54.75844', '-2.69531')"
Dominican Republic,"('19', '-70.66667')"
Romania,"('46', '25')"
savior,"('65.17115', '-152.07966')"
San Marino,"('43.9367', '12.4463')"
Singapore,"('1.28967', '103.85007')"
Syria,"('35', '38')"
Sweden,"('62', '15')"
Switzerland,"('47.00016', '8.01427')"
Türkiye,"('39', '35')"
Uruguay,"('-33', '-56')"
Venezuela,"('8', '-66')"
Vietnam,"('16.16667', '107.83333')"
England,"('44', '-71')"
